codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
M-LEH2412056,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"5.150,00","0,00","10,00",Pausado,23/03/2024,30,,,sistema,Full,Sim,Ṇo
M-LEH2412055,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.402,40","0,00","10,00",Pausado,22/12/2023,30,,,sistema,Full,Sim,Ṇo
M-LEH2412028,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.900,00","0,00","10,00",Pausado,11/04/2024,30,,,sistema,Full,Sim,Ṇo
M-LEH2412014,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.700,00","0,00","10,00",Pausado,28/02/2024,30,,,sistema,Full,Sim,Ṇo
M-LEH2412011,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.919,26","0,00","10,00",Pausado,19/09/2022,30,,,sistema,Full,Sim,Ṇo
PH2502324NGOD/A,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.700,00","100,00","10,00",Encerrado,10/02/2025,30,,,sistema,Smart,Nao,Sim
M-LEH2412104,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.400,00","0,00","10,00",Encerrado,23/09/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412101,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.200,00","0,00","8,00",Encerrado,01/08/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412096,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.100,00","100,00","10,00",Encerrado,01/12/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412089,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.339,15","0,00","10,00",Encerrado,21/12/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412058,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.995,16","0,00","10,00",Encerrado,01/07/2023,30,,,sistema,Smart,Sim,Ṇo
