codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
M-AND2508023T,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.300,00","100,00","10,00",Ativo,04/08/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2508019CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.100,00","100,00","10,00",Ativo,21/08/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2507040CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.000,00","100,00","10,00",Ativo,15/07/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2507005CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"4.000,00","100,00","10,00",Ativo,29/07/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2506054OF,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.100,00","100,00","10,00",Ativo,16/06/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2504131F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.250,00","100,00","10,00",Ativo,10/04/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2504117F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.200,00","100,00","10,00",Ativo,16/04/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2503056CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"580,00","100,00","10,00",Ativo,07/03/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2502057CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"800,00","100,00","10,00",Ativo,27/02/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2501061F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.500,00","100,00","10,00",Ativo,20/01/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2411157F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.614,72","100,00","10,00",Ativo,14/11/2024,30,,,sistema,Smart,Sim,Ṇo
